Command-Line, Time, Executable, Parent PID, PID, User, Privileges
Spotify.exe, 20240618144915.165812+180, C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe, 11488, 10272, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --log-severity=disable --user-agent-product="Chrome/106.0.5249.119 Spotify/1.1.99.878" --lang=en --user-data-dir="C:\Users\Saher Mohamed\AppData\Local\SpotifyAppX\User Data" --log-file="C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\debug.log" --mojo-platform-channel-handle=2732 --field-trial-handle=2084,i,15569928141269537622,18155634166506075028,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:8, 20240618144915.960822+180, C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe, 10272, 2236, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe" --type=gpu-process --disable-d3d11 --log-severity=disable --user-agent-product="Chrome/106.0.5249.119 Spotify/1.1.99.878" --lang=en --user-data-dir="C:\Users\Saher Mohamed\AppData\Local\SpotifyAppX\User Data" --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA= --log-file="C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\debug.log" --mojo-platform-channel-handle=1088 --field-trial-handle=2084,i,15569928141269537622,18155634166506075028,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:2, 20240618144915.823406+180, C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe, 10272, 4320, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe" --type=crashpad-handler /prefetch:7 --max-uploads=5 --max-db-size=20 --max-db-age=5 --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\Saher Mohamed\AppData\Local\SpotifyAppX\User Data\Crashpad" "--metrics-dir=C:\Users\Saher Mohamed\AppData\Local\SpotifyAppX\User Data" --url=https://crashdump.spotify.com:443/ --annotation=platform=win32 --annotation=product=spotify --annotation=version=1.1.99.878 --initial-client-data=0x590,0x594,0x598,0x560,0x59c,0x6204ed00,0x6204ed10,0x6204ed1c, 20240618144915.636049+180, C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe, 10272, 6060, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --log-severity=disable --user-agent-product="Chrome/106.0.5249.119 Spotify/1.1.99.878" --lang=en --user-data-dir="C:\Users\Saher Mohamed\AppData\Local\SpotifyAppX\User Data" --log-file="C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\debug.log" --mojo-platform-channel-handle=2704 --field-trial-handle=2084,i,15569928141269537622,18155634166506075028,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:8, 20240618144915.939205+180, C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe, 10272, 6436, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\WINDOWS\system32\wbem\wmiprvse.exe, 20240618144916.414949+180, C:\WINDOWS\system32\wbem\wmiprvse.exe, 1284, 10220, ('NT AUTHORITY', 0, 'LOCAL SERVICE'), N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding, 20240618144916.804861+180, C:\Windows\System32\RuntimeBroker.exe, 1284, 10780, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s NetSetupSvc, 20240618144916.569772+180, C:\WINDOWS\System32\svchost.exe, 1048, 13464, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
None, 20240618144916.917050+180, None, 1048, 6216, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost, 20240618144916.155717+180, C:\WINDOWS\System32\svchost.exe, 1048, 6856, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
